date,day_name,day_num,time_period,period_index,weather_icon,weather_icon_src,weather_phrase,wind_speed,wind_direction,wind_speed_display,snow_amount,rain_amount,temperature_max,temperature_min,temperature_chill,humidity,freezing_level
2025-11-08,Sat,8,10 AM,0,clear,/packs/components/weather-icon/static/dayclear-67420c1b6b3deadc194e3d819a95fd68.svg,clear,0.0,NNE,0,—,—,7,7,7,52,2500
2025-11-08,Sat,8,1 PM,1,clear,/packs/components/weather-icon/static/dayclear-67420c1b6b3deadc194e3d819a95fd68.svg,clear,5.0,NW,5,—,—,9,9,9,59,2450
2025-11-08,Sat,8,4 PM,2,clear,/packs/components/weather-icon/static/dayclear-67420c1b6b3deadc194e3d819a95fd68.svg,clear,5.0,NNW,5,—,—,7,7,6,73,2300
2025-11-08,Sat,8,7 PM,3,part cloud,/packs/components/weather-icon/static/nightpartcloud-dd0403ac3780911d72b7f255003b3934.svg,some clouds,5.0,ENE,5,—,—,4,4,4,81,2150
2025-11-08,Sat,8,10 PM,4,part cloud,/packs/components/weather-icon/static/nightpartcloud-dd0403ac3780911d72b7f255003b3934.svg,some clouds,5.0,E,5,—,—,3,3,3,83,2050
2025-11-09,Sunday,9,1 AM,5,part cloud,/packs/components/weather-icon/static/nightpartcloud-dd0403ac3780911d72b7f255003b3934.svg,some clouds,5.0,ENE,5,—,—,4,4,4,81,2100
2025-11-09,Sunday,9,4 AM,6,part cloud,/packs/components/weather-icon/static/nightpartcloud-dd0403ac3780911d72b7f255003b3934.svg,some clouds,5.0,E,5,—,—,3,3,3,82,2000
2025-11-09,Sunday,9,7 AM,7,part cloud,/packs/components/weather-icon/static/nightpartcloud-dd0403ac3780911d72b7f255003b3934.svg,some clouds,5.0,ESE,5,—,—,2,2,2,84,1900
2025-11-09,Sunday,9,10 AM,8,part cloud,/packs/components/weather-icon/static/daypartcloud-973480e82c9244eb4057b69770a99995.svg,some clouds,5.0,ENE,5,—,—,6,6,6,77,2150
2025-11-09,Sunday,9,1 PM,9,part cloud,/packs/components/weather-icon/static/daypartcloud-973480e82c9244eb4057b69770a99995.svg,some clouds,5.0,NNE,5,—,—,8,8,8,68,2300
2025-11-09,Sunday,9,4 PM,10,part cloud,/packs/components/weather-icon/static/daypartcloud-973480e82c9244eb4057b69770a99995.svg,some clouds,5.0,N,5,—,—,7,7,6,76,2250
2025-11-09,Sunday,9,7 PM,11,part cloud,/packs/components/weather-icon/static/nightpartcloud-dd0403ac3780911d72b7f255003b3934.svg,some clouds,5.0,ENE,5,—,—,5,5,5,83,2250
